expedientecum,consecutivocum,cantidad_cum,forma_farmaceutica,codigo_concentracion,unidad_cum,modalidad,vias_administracion,unidades_medida,familias_atc,numero_filas_fuente,numero_cantidades_ingrediente_distintas,numero_principios_activos,tipos_rol,numero_vias_administracion,numero_codigos_atc,numero_unidades_medida,numero_unidades_referencia,numero_tipos_rol,numero_actores,es_muestra_medica
19950135,3,16.0,SOLUCION INYECTABLE,S,U,IMPORTAR Y VENDER,SUBCUTANEA,UI,G,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,0
19955817,2,1.0,SOLUCION OFTALMICA,C,U,FABRICAR Y VENDER,OFTÁLMICA,mg,S,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19964636,1,10.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,J,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20060286,9,150.0,CAPSULA DURA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,A,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,1.0,0
20048054,1,6.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,N,4.0,4.0,4.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20157742,9,1.0,SUSPENSIONES,B,U,FABRICAR Y VENDER,ORAL,g,R,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20109494,36,20.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,g,J,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20255507,1,1.0,SOLUCION OFTALMICA,C,U,FABRICAR Y VENDER,OFTÁLMICA,mg,S,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20027645,35,200.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mcg,H,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19950727,33,32.0,TABLETA MASTICABLE,A,U,FABRICAR Y VENDER,BUCAL,mg,A,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20232107,1,28.0,CAPSULA DURA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19926701,4,250.0,CAPSULA DURA,A,U,FABRICAR Y VENDER,ORAL,mg,M,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20195356,25,300.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,N,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
20174983,4,120.0,CAPSULA DURA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20020145,2,3.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,P,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20064726,9,30.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,M,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
