expedientecum,consecutivocum,cantidad_cum,forma_farmaceutica,codigo_concentracion,unidad_cum,modalidad,vias_administracion,unidades_medida,familias_atc,numero_filas_fuente,numero_cantidades_ingrediente_distintas,numero_principios_activos,tipos_rol,numero_vias_administracion,numero_codigos_atc,numero_unidades_medida,numero_unidades_referencia,numero_tipos_rol,numero_actores,es_muestra_medica
20048021,41,203.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,3.0,3.0,3.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20077715,48,100.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,A,4.0,2.0,2.0,FABRICANTE,1.0,2.0,1.0,1.0,1.0,1.0,0
19924285,37,2.0,SOLUCION INYECTABLE,C,U,FABRICAR Y VENDER,INTRAMUSCULAR | INTRAVENOSA | SUBCUTANEA,mg,N,3.0,1.0,1.0,FABRICANTE,3.0,1.0,1.0,1.0,1.0,1.0,0
45821,20,10.0,TABLETA CUBIERTA (GRAGEA),A,U,IMPORTAR Y VENDER,ORAL,mg,C,5.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,5.0,0
20163993,5,10.0,SOLUCION OFTALMICA,C,U,FABRICAR Y VENDER,OFTÁLMICA,mg,S,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20166399,12,30.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,A,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
20193910,2,28.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,0
20025951,16,120.0,CAPSULA DURA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,1
19989090,5,4.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
19942618,6,10.0,TABLETA CUBIERTA CON PELICULA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19952099,7,10.0,SOLUCION INYECTABLE,C,U,IMPORTAR Y VENDER,INTRAVENOSA | PARENTERAL,mg,L,6.0,1.0,1.0,FABRICANTE | IMPORTADOR,2.0,1.0,1.0,1.0,2.0,3.0,0
20163214,5,50.0,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAMUSCULAR | INTRAVENOSA,mg,J,4.0,1.0,1.0,FABRICANTE | IMPORTADOR,2.0,1.0,1.0,1.0,2.0,2.0,0
20087456,51,100.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20212053,2,48.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,N,3.0,3.0,3.0,FABRICANTE,1.0,1.0,1.0,2.0,1.0,1.0,0
19961424,1,10.0,TABLETA DE LIBERACION PROLONGADA,A,U,IMPORTAR Y VENDER,ORAL,mg,N,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20125165,1,10.0,POLVO PARA SOLUCIÓN INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,mg,J,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20042480,294,1.0,SOLUCION ORAL,B,U,FABRICAR Y VENDER,ORAL,g,A,5.0,5.0,5.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20030605,3,5.0,EMULSION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,g | mg,B,56.0,28.0,28.0,FABRICANTE | IMPORTADOR,1.0,1.0,2.0,1.0,2.0,2.0,0
20094212,3,30.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20084690,12,100.0,SOLUCION INYECTABLE,S,U,IMPORTAR Y VENDER,INTRA-ARTERIAL | INTRAVENOSA | SUBCUTANEA,mg,B,6.0,1.0,1.0,FABRICANTE | IMPORTADOR,3.0,1.0,1.0,1.0,2.0,2.0,0
20115463,1,30.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19963423,22,3.0,COMPRIMIDO,A,U,FABRICAR Y VENDER,ORAL,mg,A,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
35662,14,60.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,B,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
20016549,40,1.0,CAPSULA DURA,A,U,FABRICAR Y VENDER,ORAL,mg,N,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20018316,3,1.0,CREMA TOPICA,D,U,FABRICAR Y VENDER,TOPICA (EXTERNA),g,D,12.0,3.0,3.0,FABRICANTE,1.0,4.0,1.0,1.0,1.0,1.0,0
20030605,4,5.0,EMULSION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,g | mg,B,56.0,28.0,28.0,FABRICANTE | IMPORTADOR,1.0,1.0,2.0,1.0,2.0,2.0,0
20254578,6,10.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,A,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,2.0,1.0,1.0,0
20077715,21,28.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,A,4.0,2.0,2.0,FABRICANTE,1.0,2.0,1.0,1.0,1.0,1.0,0
19932059,12,12.0,TABLETA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,N,9.0,3.0,3.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,0
20119982,7,30.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
27674,1,2.0,TABLETA CUBIERTA (GRAGEA),A,U,IMPORTAR Y VENDER,ORAL,mg,N,6.0,2.0,3.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,2.0,2.0,2.0,1
19968257,12,10.0,CAPSULA DURA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
19993863,39,1.0,SOLUCION ORAL,B,U,IMPORTAR Y VENDER,ORAL,g,A,12.0,6.0,6.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
19905376,4,1.0,SUSPENSION INYECTABLE,S,U,IMPORTAR Y VENDER,INTRAMUSCULAR,UI | mcg | ud,J,30.0,6.0,10.0,FABRICANTE | IMPORTADOR,1.0,1.0,3.0,3.0,2.0,3.0,0
20150368,1,1.0,SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRA-ARTICULAR | INTRALESIONAL | INTRAMUSCULAR | INTRAVENOSA | TEJIDO BLANDO,mg,H,10.0,1.0,1.0,FABRICANTE | IMPORTADOR,5.0,1.0,1.0,1.0,2.0,2.0,0
20111469,2,1.0,SOLUCION INYECTABLE,S,U,IMPORTAR Y VENDER,SUBCUTANEA,UI | mcg,A,6.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,2.0,2.0,2.0,3.0,1
19943837,2,2.0,GRANULOS,A,U,IMPORTAR Y VENDER,ORAL,g,J,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20233534,10,200.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20078742,37,7.0,POLVO,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,N,6.0,3.0,3.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
19935777,14,150.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,N,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20135023,9,10.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
20053867,3,14.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,J,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20218812,5,2.0,CAPSULA DURA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,C,6.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
20002042,16,160.0,SOLUCION INYECTABLE,S,U,IMPORTAR Y VENDER,INTRAVENOSA | SUBCUTANEA,UI,B,4.0,1.0,1.0,FABRICANTE | IMPORTADOR,2.0,1.0,1.0,1.0,2.0,2.0,0
20088116,2,1.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,N,3.0,3.0,3.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19992192,8,28.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,A,6.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,1
224030,9,2.0,SOLUCION INYECTABLE,S,U,IMPORTAR Y VENDER,INTRAVENOSA | SUBCUTANEA,mg,A,8.0,1.0,1.0,FABRICANTE | IMPORTADOR,2.0,1.0,1.0,1.0,2.0,4.0,1
20039588,37,5.0,SOLUCION ORAL,A,U,FABRICAR Y VENDER,ORAL,g | mg,A,5.0,5.0,5.0,FABRICANTE,1.0,1.0,2.0,1.0,1.0,1.0,1
19959519,3,4.0,SOLUCION INYECTABLE,S,U,IMPORTAR Y VENDER,SUBCUTANEA,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19939513,25,2.0,TABLETA BUCAL,A,U,FABRICAR Y VENDER,BUCAL,mg,R,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
19997621,3,5.0,SOLUCION INYECTABLE,A,ml,FABRICAR Y VENDER,INTRAMUSCULAR | INTRAVENOSA,mg,H,2.0,1.0,1.0,FABRICANTE,2.0,1.0,1.0,1.0,1.0,1.0,0
20263606,1,30.0,CAPSULA DURA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19984369,11,72.0,TABLETA CUBIERTA CON PELICULA,A,U,FABRICAR Y VENDER,ORAL,mg,R,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20080371,2,20.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,M,4.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,2.0,2.0,2.0,0
20179476,3,20.0,INYECTABLES,A,U,IMPORTAR Y VENDER,INTRAVENOSA,mg,N,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20058810,10,10.0,CAPSULA BLANDA,A,U,FABRICAR Y VENDER,ORAL,mg,N,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20045158,8,28.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,J,4.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20256114,5,28.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,B,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20120348,10,500.0,TABLETA,A,U,IMPORTAR Y VENDER,ORAL,mg,C,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
208141,32,1.0,SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,g,B,40.0,18.0,20.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
219143,3,120.0,SOLUCION TOPICA,B,ml,FABRICAR Y VENDER,TOPICA (EXTERNA),g,D,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19915315,6,14.0,TABLETA,A,U,IMPORTAR Y VENDER,ORAL,mg,C,4.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,4.0,1
19947032,6,14.0,TABLETA CON CUBIERTA ENTERICA CON PELICULA,A,U,FABRICAR Y VENDER,ORAL,mg,A,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20196076,4,1.0,SOLUCION ORAL,B,U,FABRICAR Y VENDER,ORAL,mg,B,9.0,9.0,9.0,FABRICANTE,1.0,1.0,1.0,2.0,1.0,1.0,0
19998174,49,14.0,POLVO PARA RECONSTITUIR A SOLUCION ORAL,A,U,FABRICAR Y VENDER,ORAL,mg,M,6.0,3.0,3.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,1
20209565,2,50.0,SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAMUSCULAR | INTRAVENOSA | RECTAL,mg,N,6.0,1.0,1.0,FABRICANTE | IMPORTADOR,3.0,1.0,1.0,1.0,2.0,2.0,0
20022622,3,1.0,EMULSION INYECTABLE,C,U,IMPORTAR Y VENDER,INTRAVENOSA,mg,B,54.0,26.0,27.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,2.0,2.0,2.0,0
19950452,148,10.0,SOLUCION INYECTABLE,S,U,FABRICAR Y VENDER,INTRAVENOSA | SUBCUTANEA,mg,B,2.0,1.0,1.0,FABRICANTE,2.0,1.0,1.0,1.0,1.0,1.0,0
20216947,8,5.0,EMULSION INYECTABLE,C,U,IMPORTAR Y VENDER,PERFUSION INTRAVENOSA,mg,B,56.0,28.0,28.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20045072,12,3.0,SOLUCION INYECTABLE,A,U,FABRICAR Y VENDER,INTRAMUSCULAR | INTRAVENOSA | SUBCUTANEA,mg,N,3.0,1.0,1.0,FABRICANTE,3.0,1.0,1.0,1.0,1.0,1.0,0
20103268,6,100.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,M,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,0
20077141,24,60.0,TABLETA CUBIERTA CON PELICULA,A,U,IMPORTAR Y VENDER,ORAL,mg,G,4.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20099444,1,20.0,CREMA TOPICA,D,g,FABRICAR Y VENDER,TOPICA (EXTERNA),g,D,3.0,3.0,3.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19988267,12,2.0,CAPSULA BLANDA,A,U,FABRICAR Y VENDER,ORAL,mg,C,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20235188,7,10.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,4.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,4.0,1
19995297,1,50.0,SOLUCION INYECTABLE,S,U,IMPORTAR Y VENDER,INTRAVENOSA | SUBCUTANEA,UI,B,4.0,1.0,1.0,FABRICANTE | IMPORTADOR,2.0,1.0,1.0,1.0,2.0,2.0,0
20138124,1,7.0,TABLETA,A,U,IMPORTAR Y VENDER,ORAL,mg,C,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20157001,3,28.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
208141,28,1.0,SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,g,B,40.0,18.0,20.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20046741,5,300.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,N,4.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
19991762,9,50.0,SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,mg,J,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
219782,1,1.0,JARABE,B,U,FABRICAR Y VENDER,ORAL,g,N,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20044923,1,2.0,SUSPENSION ORAL,A,U,IMPORTAR Y VENDER,ORAL,mg,A,6.0,3.0,3.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19931776,34,2.0,TABLETA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,N,8.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,4.0,1
19977782,28,1.0,EMULSION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,mg,B,12.0,3.0,4.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,1
226529,1,1.0,SUSPENSION INYECTABLE,A,ml,IMPORTAR Y VENDER,INTRA-ARTICULAR | INTRALESIONAL | INTRAMUSCULAR,mg,H,18.0,2.0,2.0,FABRICANTE | IMPORTADOR,3.0,1.0,1.0,1.0,2.0,3.0,0
20242577,1,1.0,JARABE,B,U,FABRICAR Y VENDER,ORAL,g,R,2.0,1.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19943271,5,60.0,TABLETA CUBIERTA CON PELICULA,A,U,FABRICAR Y VENDER,ORAL,UI | mcg | mg,A,9.0,7.0,9.0,FABRICANTE,1.0,1.0,3.0,1.0,1.0,1.0,0
19993863,36,1.0,SOLUCION ORAL,B,U,IMPORTAR Y VENDER,ORAL,g,A,12.0,6.0,6.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
20093972,2,4.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,N,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20050749,27,60.0,TABLETA CUBIERTA CON PELICULA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19950974,1,4.0,SOLUCION INYECTABLE,C,U,IMPORTAR Y VENDER,INTRA-ARTERIAL | INTRALINFATICA | INTRAMUSCULAR | INTRAUTERINA,mg,V,8.0,1.0,1.0,FABRICANTE | IMPORTADOR,4.0,1.0,1.0,1.0,2.0,2.0,0
19974254,8,10.0,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAMUSCULAR | INTRAVENOSA,g,J,8.0,2.0,2.0,FABRICANTE | IMPORTADOR,2.0,1.0,1.0,1.0,2.0,2.0,0
19959680,4,20.0,CAPSULA DURA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,A,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,0
35644,3,10.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,J,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
20003211,3,30.0,CAPSULA DE LIBERACION PROLONGADA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,N,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20090945,2,30.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,N,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20235714,3,14.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,J,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19983100,2,10.0,SOLUCION INYECTABLE,S,U,IMPORTAR Y VENDER,INTRAMUSCULAR | SUBCUTANEA,mcg,J,92.0,1.0,23.0,FABRICANTE | IMPORTADOR,2.0,1.0,1.0,1.0,2.0,2.0,0
19901250,12,30.0,TABLETA DE LIBERACION PROLONGADA,A,U,IMPORTAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,IMPORTADOR,1.0,1.0,1.0,1.0,1.0,1.0,0
19982562,8,30.0,TRANSDERMICOS,A,U,IMPORTAR Y VENDER,TOPICA (EXTERNA),g,N,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
40194,2,15.0,CREMA TOPICA,D,U,FABRICAR Y VENDER,TOPICA (EXTERNA),g,D,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20113430,5,90.0,TABLETA,A,U,IMPORTAR. ENVASAR Y VENDER,ORAL,mg,N,4.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19987944,12,5.0,TABLETA,A,U,IMPORTAR Y VENDER,ORAL,mcg,H,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,1
20100521,2,160.0,CAPSULA DURA,A,U,FABRICAR Y VENDER,ORAL,mg,N,4.0,4.0,4.0,FABRICANTE,1.0,1.0,1.0,2.0,1.0,1.0,0
20078743,13,15.0,POLVO PARA RECONSTITUIR A SOLUCION ORAL,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,R,9.0,3.0,3.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
36240,4,1.0,SOLUCION INYECTABLE,S,U,IMPORTAR Y VENDER,INTRA-ARTERIAL | INTRAVENOSA | SUBCUTANEA,mg,B,9.0,1.0,1.0,FABRICANTE | IMPORTADOR,3.0,1.0,1.0,1.0,2.0,3.0,0
20254199,3,30.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,A,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19903245,30,250.0,SOLUCION TOPICA,B,ml,FABRICAR Y VENDER,TOPICA (EXTERNA),mL,D,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19975921,13,6.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,A,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,1
19931776,7,10.0,TABLETA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,N,8.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,4.0,0
19937177,3,1.0,UNGUENTO TOPICO,D,U,IMPORTAR Y VENDER,TOPICA (EXTERNA),mcg | mg,D,4.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,2.0,1.0,2.0,2.0,0
20117157,13,2.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,R,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,1
19940076,4,30.0,CAPSULA DURA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,A,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,0
19950727,95,1200.0,TABLETA MASTICABLE,A,U,FABRICAR Y VENDER,BUCAL,mg,A,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
226034,8,7.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,C,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20073105,17,30.0,TABLETA RECUBIERTA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,N,9.0,3.0,3.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,2.0,2.0,3.0,0
20037936,7,30.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,2.0,1.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19968710,6,30.0,TABLETA DISPERSABLE,A,U,FABRICAR Y VENDER,ORAL,mg,N,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
20195443,1,24.0,GRANULOS,A,U,FABRICAR Y VENDER,ORAL,mg,R,3.0,3.0,3.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20086282,3,24.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,N,3.0,3.0,3.0,FABRICANTE,1.0,1.0,1.0,2.0,1.0,1.0,0
43462,3,10.0,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,mcg | mg,B,27.0,8.0,9.0,FABRICANTE | IMPORTADOR,1.0,1.0,2.0,1.0,2.0,3.0,1
20268645,1,1.0,SUSPENSION ORAL,B,U,FABRICAR Y VENDER,ORAL,mg,A,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20204324,1,30.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,B,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19974781,10,30.0,CAPSULA DURA,A,U,IMPORTAR Y VENDER,ORAL,mg,C,4.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
20108174,3,30.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,G,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
19955272,17,14.0,TABLETA DE LIBERACION PROLONGADA,A,U,IMPORTAR Y VENDER,ORAL,mg,G,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
37223,17,1.0,SUSPENSION ORAL,B,U,FABRICAR Y VENDER,ORAL,g,A,3.0,2.0,3.0,FABRICANTE,1.0,1.0,1.0,2.0,1.0,1.0,0
20067385,1,10.0,TABLETA BUCAL,A,U,FABRICAR Y VENDER,BUCAL,mg,R,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
