params,mean_test_score,std_test_score,mean_train_score,std_train_score,rank_test_score
"{'model__C': 0.1, 'model__loss': 'hinge'}",0.48736469197774657,0.010094964277631081,0.4976096215290632,0.0025132857664341745,1
"{'model__C': 0.1, 'model__loss': 'squared_hinge'}",0.48407043906116665,0.007715167624709182,0.49876559476185156,0.00199558065955242,3
"{'model__C': 1.0, 'model__loss': 'hinge'}",0.4850720766210436,0.00843793924972003,0.5003441676614919,0.002167261829645156,2
"{'model__C': 1.0, 'model__loss': 'squared_hinge'}",0.4831067986800372,0.007716300887326779,0.4987600938483475,0.0018388285246365354,5
"{'model__C': 10.0, 'model__loss': 'hinge'}",0.48394161246328754,0.008430635648966301,0.5006024069343935,0.0018328348801100085,4
"{'model__C': 10.0, 'model__loss': 'squared_hinge'}",0.4830309897936681,0.007445558054221384,0.4987259325643384,0.0018837445118944447,6
