params,mean_test_score,std_test_score,mean_train_score,std_train_score,rank_test_score
"{'model__C': 0.1, 'model__l1_ratio': 0.0}",0.4850673596513574,0.009310924826200426,0.4981392306591011,0.0015821573853268764,1
"{'model__C': 0.1, 'model__l1_ratio': 1.0}",0.4843701442332879,0.007851272814770292,0.4952116090198997,0.0018118430047067027,3
"{'model__C': 1.0, 'model__l1_ratio': 0.0}",0.4845553854778739,0.00866831800735007,0.4997921383717355,0.0018217451774581851,2
"{'model__C': 1.0, 'model__l1_ratio': 1.0}",0.483748800190146,0.008390283114488698,0.49978297755398043,0.002121761467907521,6
"{'model__C': 10.0, 'model__l1_ratio': 0.0}",0.48402558631605164,0.008140743076814871,0.5003934545758473,0.002021865331357254,5
"{'model__C': 10.0, 'model__l1_ratio': 1.0}",0.48413576440770356,0.008110226646845513,0.5004097354118301,0.0020349937653104974,4
